FullName,Email,Phone,TransactionType,Amount,TransactionDate,AccountType,Balance,OpeningDate,LoanAmount,LoanType,StartDate,EndDate,InterestRate,FirstName,LastName
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,2023-05-01,Savings,8330.83,2024-01-23,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29,Valerie,Cuevas
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,2023-05-01,Savings,8330.83,2024-01-23,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58,Valerie,Cuevas
Monica Graves,xday@example.net,402.918.5084x3030,deposit,147.5,2020-01-18,Savings,8648.97,2022-06-05,48233.91,Personal,2023-12-03,2048-03-25 04:59:17.908108,4.7,Monica,Graves
Monica Graves,xday@example.net,402.918.5084x3030,deposit,147.5,2020-01-18,Savings,8648.97,2022-06-05,5710.02,Mortgage,2023-11-28,2047-03-11 04:59:17.909104,5.45,Monica,Graves
Kim Stone,garrett28@example.org,001-668-236-9938,deposit,145.72,2019-10-14,Savings,7446.25,2023-10-29,0.0,Unknown,,,0.0,Kim,Stone
Shelby Smith,carolyn11@example.com,580.272.0301x65432,withdrawal,351.38,2022-05-19,Checking,9529.29,2023-05-07,0.0,Unknown,,,0.0,Shelby,Smith
Eric Anderson,spencer16@example.com,851-945-5888,deposit,403.71,2023-11-14,Savings,5051.48,2022-05-16,0.0,Unknown,,,0.0,Eric,Anderson
Ryan Alexander,loganjohn@example.org,900.377.1792x148,deposit,358.37,2022-08-30,Checking,4880.23,2020-09-30,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12,Ryan,Alexander
Jason Bennett,joseph97@example.net,(632)674-7662x30858,deposit,140.67,2022-11-08,Savings,8380.64,2021-11-24,42355.47,Mortgage,2019-02-23,2036-08-20 04:59:17.911618,7.05,Jason,Bennett
Jason Bennett,joseph97@example.net,(632)674-7662x30858,deposit,140.67,2022-11-08,Savings,8380.64,2021-11-24,35193.83,Mortgage,2021-01-17,2029-09-08 04:59:17.912750,1.85,Jason,Bennett
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,268.39,2023-02-11,Credit,7252.65,2019-03-14,11074.47,Personal,2022-02-11,2032-05-06 04:59:17.908590,5.36,Paul,Noble
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,268.39,2023-02-11,Credit,7252.65,2019-03-14,38903.23,Personal,2021-07-14,2042-10-07 04:59:17.909559,2.28,Paul,Noble
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,2020-09-15,Checking,4000.76,2023-09-17,38009.14,Personal,2023-04-11,2052-03-25 04:59:17.906900,5.8,Sharon,Dunn
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,2020-09-15,Checking,4000.76,2023-09-17,22725.99,Auto,2019-07-11,2045-04-16 04:59:17.907015,5.42,Sharon,Dunn
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,2020-09-15,Checking,4000.76,2023-09-17,8040.33,Mortgage,2019-03-28,2026-12-04 04:59:17.912840,6.4,Sharon,Dunn
Peter Callahan,miranda13@example.org,+1-790-969-3518,withdrawal,384.83,2024-01-22,Savings,5436.03,2019-04-30,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81,Peter,Callahan
Heather Wright,adamssheila@example.net,850-282-6951x4975,deposit,497.14,2019-10-10,Credit,3099.1,2022-01-25,13931.18,Mortgage,2021-01-30,2036-10-09 04:59:17.910193,3.35,Heather,Wright
Lauren Gray,kenneth99@example.net,218.715.2894x614,deposit,30.0,2023-02-24,Checking,4765.84,2022-02-19,48933.91,Auto,2020-08-06,2036-11-01 04:59:17.905052,4.43,Lauren,Gray
Lauren Gray,kenneth99@example.net,218.715.2894x614,deposit,30.0,2023-02-24,Checking,4765.84,2022-02-19,47062.38,Mortgage,2019-10-22,2047-01-26 04:59:17.909784,6.27,Lauren,Gray
Peter Callahan,miranda13@example.org,+1-790-969-3518,deposit,494.22,2022-10-02,Checking,6400.46,2021-03-22,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81,Peter,Callahan
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,465.1,2021-06-20,Checking,3099.96,2023-05-05,0.0,Unknown,,,0.0,Stacy,Oliver
Daniel Edwards,byoung@example.org,+1-615-756-7330,deposit,306.02,2019-02-28,Credit,1496.1,2021-06-16,34427.31,Mortgage,2022-07-26,2031-01-18 04:59:17.909902,4.02,Daniel,Edwards
Daniel Edwards,byoung@example.org,+1-615-756-7330,deposit,306.02,2019-02-28,Credit,1496.1,2021-06-16,17430.29,Auto,2023-10-16,2045-12-04 04:59:17.910330,2.8,Daniel,Edwards
Daniel Edwards,byoung@example.org,+1-615-756-7330,deposit,306.02,2019-02-28,Credit,1496.1,2021-06-16,14964.93,Auto,2020-12-22,2042-10-19 04:59:17.914385,5.33,Daniel,Edwards
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,105.12,2022-11-29,Credit,6681.52,2021-11-09,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93,Joseph,Hernandez
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,105.12,2022-11-29,Credit,6681.52,2021-11-09,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95,Joseph,Hernandez
Carly Mitchell,zachary24@example.org,(728)923-5061,withdrawal,412.17,2022-11-17,Savings,3506.26,2019-12-04,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33,Carly,Mitchell
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,2020-11-16,Savings,1443.64,2020-05-30,49675.33,Auto,2021-12-13,2036-08-10 04:59:17.909048,3.89,Deborah,Jenkins
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,2020-11-16,Savings,1443.64,2020-05-30,31033.48,Personal,2023-11-11,2051-04-06 04:59:17.911837,5.66,Deborah,Jenkins
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,2020-11-16,Savings,1443.64,2020-05-30,49754.29,Mortgage,2019-11-14,2037-12-30 04:59:17.914202,4.83,Deborah,Jenkins
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,deposit,448.75,2021-10-31,Checking,4797.54,2022-03-28,8419.93,Personal,2021-10-29,2038-03-25 04:59:17.908413,4.1,Jason,Martin
Charles Wise,campossarah@example.net,532.804.9131x538,withdrawal,36.85,2021-10-05,Credit,2920.84,2019-12-03,20109.87,Auto,2021-06-30,2053-07-24 04:59:17.906568,4.66,Charles,Wise
Sarah Green,lnelson@example.net,(390)584-3409x128,deposit,430.92,2023-09-12,Checking,8232.61,2019-06-27,45034.48,Mortgage,2019-10-04,2034-06-24 04:59:17.906623,2.58,Sarah,Green
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,2020-03-02,Checking,2161.94,2021-11-06,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84,Eric,Phillips
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,2020-03-02,Checking,2161.94,2021-11-06,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41,Eric,Phillips
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,2020-03-02,Checking,2161.94,2021-11-06,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85,Eric,Phillips
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,2023-03-03,Savings,8330.83,2024-01-23,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51,Valerie,Cuevas
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,2023-03-03,Savings,8330.83,2024-01-23,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29,Valerie,Cuevas
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,2023-03-03,Savings,8330.83,2024-01-23,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58,Valerie,Cuevas
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,2019-08-11,Savings,8330.83,2024-01-23,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51,Valerie,Cuevas
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,2019-08-11,Savings,8330.83,2024-01-23,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29,Valerie,Cuevas
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,2019-08-11,Savings,8330.83,2024-01-23,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58,Valerie,Cuevas
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,227.4,2023-12-16,Checking,2511.55,2023-02-23,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43,Danny,Brown
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,2020-11-15,Credit,2881.24,2019-05-06,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,2020-11-15,Credit,2881.24,2019-05-06,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,2020-11-15,Credit,2881.24,2019-05-06,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15,Geoffrey,Banks
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,2020-11-15,Credit,2881.24,2019-05-06,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03,Geoffrey,Banks
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,deposit,351.68,2019-04-26,Checking,9461.84,2021-05-11,0.0,Unknown,,,0.0,Jasmin,Palmer
Daniel Newman,potterrichard@example.com,001-541-774-7582x00497,withdrawal,50.99,2021-06-12,Savings,2813.49,2023-10-01,0.0,Unknown,,,0.0,Daniel,Newman
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,withdrawal,426.91,2022-03-29,Credit,9382.52,2022-08-17,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89,Sabrina,Juarez
Scott Collins,veronica19@example.org,001-449-712-6361x791,withdrawal,86.29,2022-12-26,Checking,408.18,2020-11-29,47203.82,Auto,2021-06-15,2044-11-15 04:59:17.907182,5.28,Scott,Collins
Carly Mitchell,zachary24@example.org,(728)923-5061,withdrawal,193.12,2023-01-25,Checking,4092.25,2019-09-26,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33,Carly,Mitchell
Jamie Stone,derekhart@example.org,473.393.2625x19595,deposit,271.18,2021-02-10,Savings,5779.42,2020-08-13,27719.17,Mortgage,2022-02-12,2053-07-27 04:59:17.910650,1.54,Jamie,Stone
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,337.93,2020-10-22,Credit,5981.73,2020-06-08,0.0,Unknown,,,0.0,Stacy,Oliver
Brian Dillon,swilson@example.net,001-699-957-2129x33878,withdrawal,46.76,2024-01-23,Checking,176.64,2019-04-22,38994.49,Auto,2020-12-24,2026-08-31 04:59:17.910448,5.55,Brian,Dillon
Christopher Hale,watsondarren@example.org,+1-917-489-0869x753,withdrawal,299.22,2023-05-01,Checking,5108.1,2023-06-15,28988.77,Personal,2020-03-23,2028-05-28 04:59:17.914468,3.06,Christopher,Hale
Shelby Smith,carolyn11@example.com,580.272.0301x65432,withdrawal,345.48,2019-08-26,Credit,8471.16,2021-09-05,0.0,Unknown,,,0.0,Shelby,Smith
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,deposit,309.22,2023-03-11,Savings,9139.78,2023-01-03,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89,Sabrina,Juarez
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,withdrawal,381.28,2020-11-23,Checking,485.78,2020-12-04,0.0,Unknown,,,0.0,Jasmin,Palmer
Jesse Osborn,dennis81@example.org,(504)953-6008x457,withdrawal,356.54,2021-05-16,Credit,6487.53,2019-09-18,0.0,Unknown,,,0.0,Jesse,Osborn
Peter Callahan,miranda13@example.org,+1-790-969-3518,withdrawal,309.74,2022-02-11,Savings,5436.03,2019-04-30,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81,Peter,Callahan
Chad Jensen,ambertaylor@example.org,6576129629,withdrawal,468.3,2019-02-25,Savings,3999.07,2020-10-11,0.0,Unknown,,,0.0,Chad,Jensen
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,298.4,2022-08-16,Savings,9573.53,2021-09-05,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43,Danny,Brown
Eric Anderson,spencer16@example.com,851-945-5888,withdrawal,132.43,2021-12-10,Checking,8922.24,2023-04-14,0.0,Unknown,,,0.0,Eric,Anderson
Ethan Walker,jessicashah@example.net,001-586-722-3937x922,deposit,490.26,2023-06-22,Credit,6050.42,2020-09-09,39189.96,Auto,2023-07-30,2027-03-06 04:59:17.909710,6.36,Ethan,Walker
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,136.12,2021-09-04,Credit,6681.52,2021-11-09,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93,Joseph,Hernandez
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,136.12,2021-09-04,Credit,6681.52,2021-11-09,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95,Joseph,Hernandez
Brian Scott,marquezgeorge@example.org,001-925-602-1058x78333,deposit,67.63,2020-03-12,Savings,3935.69,2023-04-29,0.0,Unknown,,,0.0,Brian,Scott
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,333.17,2023-03-31,Checking,9940.6,2019-05-16,19635.04,Personal,2021-08-02,2026-01-11 04:59:17.907934,4.89,Anthony,Ray
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,333.17,2023-03-31,Checking,9940.6,2019-05-16,42324.23,Mortgage,2023-04-04,2042-03-23 04:59:17.909368,5.25,Anthony,Ray
Crystal George,james32@example.com,(934)652-9829,withdrawal,58.45,2019-12-12,Checking,9829.08,2022-05-29,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29,Crystal,George
Crystal George,james32@example.com,(934)652-9829,withdrawal,58.45,2019-12-12,Checking,9829.08,2022-05-29,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27,Crystal,George
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,381.9,2024-01-05,Savings,5901.01,2021-11-01,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52,Tommy,Brooks
Ryan Alexander,loganjohn@example.org,900.377.1792x148,withdrawal,363.18,2022-02-15,Checking,6273.5,2019-07-19,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12,Ryan,Alexander
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,deposit,364.14,2022-09-27,Credit,2371.32,2023-07-06,0.0,Unknown,,,0.0,Jasmin,Palmer
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,287.91,2020-05-12,Credit,6681.52,2021-11-09,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93,Joseph,Hernandez
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,287.91,2020-05-12,Credit,6681.52,2021-11-09,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95,Joseph,Hernandez
Francisco Potter,joneschristine@example.org,(564)921-3755x708,deposit,57.33,2022-09-15,Credit,6992.14,2022-03-08,35115.06,Auto,2023-09-01,2027-05-28 04:59:17.909841,5.87,Francisco,Potter
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,2019-07-03,Checking,660.41,2024-01-21,32793.41,Auto,2020-08-30,2042-06-07 04:59:17.906027,3.97,Anthony,Moore
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,2019-07-03,Checking,660.41,2024-01-21,36341.34,Auto,2021-05-29,2045-04-13 04:59:17.908647,4.43,Anthony,Moore
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,2019-07-03,Checking,660.41,2024-01-21,49303.25,Mortgage,2020-08-20,2044-05-31 04:59:17.910831,3.12,Anthony,Moore
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,54.48,2020-03-24,Credit,9868.28,2019-07-25,42684.76,Personal,2024-01-15,2048-02-15 04:59:17.905910,1.96,Jeremy,Jacobs
Crystal George,james32@example.com,(934)652-9829,withdrawal,387.3,2019-09-26,Checking,8090.41,2021-03-08,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29,Crystal,George
Crystal George,james32@example.com,(934)652-9829,withdrawal,387.3,2019-09-26,Checking,8090.41,2021-03-08,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27,Crystal,George
Monica Graves,xday@example.net,402.918.5084x3030,withdrawal,61.79,2023-07-23,Credit,477.03,2020-03-23,48233.91,Personal,2023-12-03,2048-03-25 04:59:17.908108,4.7,Monica,Graves
Monica Graves,xday@example.net,402.918.5084x3030,withdrawal,61.79,2023-07-23,Credit,477.03,2020-03-23,5710.02,Mortgage,2023-11-28,2047-03-11 04:59:17.909104,5.45,Monica,Graves
Jamie Stone,derekhart@example.org,473.393.2625x19595,withdrawal,192.54,2020-11-09,Savings,7533.24,2019-04-16,27719.17,Mortgage,2022-02-12,2053-07-27 04:59:17.910650,1.54,Jamie,Stone
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,2023-09-09,Checking,2161.94,2021-11-06,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84,Eric,Phillips
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,2023-09-09,Checking,2161.94,2021-11-06,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41,Eric,Phillips
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,2023-09-09,Checking,2161.94,2021-11-06,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85,Eric,Phillips
